time	asset	gain
0.60	focus.mp3	0.26
10.50	whoosh.mp3	0.28
12.00	click-soft.mp3	0.25
20.80	stack-collapse.mp3	0.27
24.50	focus.mp3	0.26
30.50	transform.mp3	0.29
34.00	complete-done.mp3	0.30
40.80	whoosh-fast.mp3	0.28
44.20	drop-thud.mp3	0.27
50.50	focus.mp3	0.26
54.00	complete-done.mp3	0.30
