time	asset	gain
0.60	focus.mp3	0.28
11.20	whoosh.mp3	0.25
22.10	stack-collapse.mp3	0.26
30.80	transform.mp3	0.27
35.50	click-soft.mp3	0.24
41.50	whoosh-fast.mp3	0.25
52.00	complete-done.mp3	0.29
