time	asset	gain
7.00	click-soft.mp3	0.26
12.00	complete-done.mp3	0.26
17.00	focus.mp3	0.26
23.00	drop-thud.mp3	0.26
26.00	focus.mp3	0.26
34.00	transform.mp3	0.26
37.00	focus.mp3	0.26
45.00	stack-collapse.mp3	0.26
48.00	whoosh.mp3	0.26
55.00	complete-done.mp3	0.26
58.00	whoosh-fast.mp3	0.26
