time	asset	gain
0.60	drop-thud.mp3	0.26
2.00	focus.mp3	0.26
11.00	whoosh-fast.mp3	0.26
12.50	click-soft.mp3	0.26
21.00	click-soft.mp3	0.26
23.00	stack-collapse.mp3	0.26
25.00	whoosh.mp3	0.26
31.00	transform.mp3	0.26
34.00	complete-done.mp3	0.26
41.00	whoosh.mp3	0.26
44.00	stack-collapse.mp3	0.26
51.00	focus.mp3	0.26
55.00	complete-done.mp3	0.26
