time	asset	gain
0.60	focus.mp3	0.26
12.10	whoosh.mp3	0.24
22.80	click-soft.mp3	0.22
33.00	transform.mp3	0.28
44.50	stack-collapse.mp3	0.20
53.00	complete-done.mp3	0.30
