time	asset	gain
0.80	focus.mp3	0.28
2.50	whoosh.mp3	0.22
11.20	click-soft.mp3	0.20
15.60	whoosh.mp3	0.24
21.00	click-soft.mp3	0.20
25.50	whoosh-fast.mp3	0.26
30.80	focus.mp3	0.28
36.50	whoosh.mp3	0.22
41.00	transform.mp3	0.30
45.80	complete-done.mp3	0.28
51.00	transform.mp3	0.28
56.50	complete-done.mp3	0.28
