time	asset	gain
1.50	click-soft.mp3	0.28
12.00	whoosh-fast.mp3	0.27
14.50	drop-thud.mp3	0.29
22.50	focus.mp3	0.26
26.50	stack-collapse.mp3	0.25
33.00	transform.mp3	0.28
36.00	focus.mp3	0.27
42.00	click-soft.mp3	0.26
46.00	complete-done.mp3	0.30
52.50	whoosh.mp3	0.27
58.00	focus.mp3	0.29
