time	asset	gain
1.20	whoosh-fast.mp3	0.28
5.10	drop-thud.mp3	0.25
10.80	focus.mp3	0.27
14.70	whoosh.mp3	0.22
21.50	transform.mp3	0.29
26.80	stack-collapse.mp3	0.26
32.10	transform.mp3	0.28
36.50	whoosh-fast.mp3	0.25
41.60	drop-thud.mp3	0.30
45.90	transform.mp3	0.27
51.50	complete-done.mp3	0.31
56.80	click-soft.mp3	0.24
